dim 1,dim 2
3.6116803,-49.84102
80.12714,37.238094
-46.1519,-12.758793
-40.241444,33.621025
-14.15112,19.811623
-48.692467,65.806625
56.665524,-28.455301
48.32746,-51.65466
-27.718925,77.79734
32.04104,-81.562355
4.9306774,64.29261
-32.092083,-7.62258
-1.7201686,-6.607486
64.86259,15.319035
-3.6058307,-81.84042
49.327984,-5.8000617
71.89958,34.261803
-57.74429,30.838663
58.882862,22.847872
-38.33669,56.059937
75.56228,-12.281264
12.432763,-52.23467
40.174595,43.955437
31.249165,-52.36796
-97.5956,10.869223
-5.5992546,-18.78071
34.134663,34.96365
-37.248062,15.025368
-12.79979,50.51047
-28.825012,46.557777
-23.396984,-38.994846
76.50666,-15.439403
-29.601532,21.892958
-25.023584,-7.3453903
18.842857,-1.8291216
-2.5022898,-13.867037
-29.819345,58.3443
-77.83164,15.712789
-36.798824,-41.46002
-4.908257,27.851841
-12.045677,58.43738
-31.65015,66.46094
-1.3834859,-9.084871
18.046463,-22.279152
-22.53076,-40.956676
7.8585367,-5.834695
3.7574756,-43.531437
-30.545135,-25.164686
-63.03364,18.756285
11.636628,-2.3827662
71.0365,7.690307
-85.655136,17.646067
32.437023,-9.360607
-93.00243,9.659887
73.54692,37.2338
-45.699383,-45.272503
62.373463,12.73049
16.181387,35.443096
-48.693592,65.79781
53.613148,27.264242
-3.4359922,-70.626076
-30.484735,-2.9343057
-0.583645,-8.685583
82.711426,-19.89971
31.202312,57.03785
-13.9144,72.78552
27.274769,-45.759922
70.954926,-18.658384
-0.237972,59.041775
21.10013,-23.404472
-31.73453,-18.04757
8.930675,-74.46306
-69.21857,21.793673
5.444523,-48.06325
74.69303,31.725796
-9.21318,76.14884
-8.514082,32.211502
-57.350323,0.9707293
-51.22727,-7.569825
-32.43241,84.090965
-23.593866,31.447376
-12.832725,47.180466
31.931026,-81.57968
84.94553,-14.557067
48.19665,-11.395251
-55.62181,-29.2064
-23.888134,29.231781
16.515244,20.020689
43.798103,35.410976
-45.10421,12.719852
61.352825,11.898512
62.09757,-35.16197
48.031925,19.461527
-11.868561,50.579926
-19.197126,66.446754
38.197525,35.76414
-44.24097,-3.8354597
-48.022766,-0.6171285
62.048775,59.24146
72.237045,-51.648502
-8.812503,35.48692
91.56392,-20.323738
19.22071,-14.136471
26.23505,39.382195
40.746525,44.69042
15.975504,31.05404
-2.2037961,50.209496
20.433537,4.4411182
-5.5978684,54.818054
-31.455328,79.58032
48.762657,-33.168232
22.039774,41.972507
-25.198343,74.70937
63.45797,-45.196636
-20.773357,-22.47225
-48.061157,-42.276268
-27.608532,75.401405
28.110626,77.55968
-20.19738,-31.984043
-77.59075,-20.790533
-35.431335,65.173065
-24.934164,-8.404315
-16.59144,-53.150963
-41.55641,-19.393414
-26.03552,72.13025
5.345558,-1.2452707
-37.89941,45.243843
-66.75335,7.766631
43.831448,12.303692
-27.170036,15.71265
54.820435,-73.63899
48.27391,-27.483229
-13.238515,21.029205
-36.0971,14.09393
46.527508,-36.83286
82.989105,31.311745
5.226385,25.451553
14.120895,23.084074
-11.496283,78.20853
10.443302,-81.54003
-63.39465,-53.511738
54.16622,-8.692399
20.153667,-3.5104563
-72.40212,14.9602375
76.21644,-15.603763
64.257935,-42.807823
81.406166,-10.101053
33.73033,-7.246723
40.609467,30.748772
61.915386,-14.045436
4.7874656,6.111538
-78.378525,-23.488731
-18.705795,-44.317486
-14.4520035,-46.027264
-23.225859,-41.998627
13.25779,-54.85435
-4.279832,48.317722
15.129741,8.96964
17.81005,70.15242
76.04788,-27.65945
45.2661,25.545658
-5.2590103,-51.865173
-65.26425,10.392785
27.238201,-45.77681
2.0876477,-13.960381
-60.987534,-58.375767
-31.058056,19.675861
36.26458,22.630291
-25.236553,-57.967026
28.339739,-12.751366
-25.289907,14.22864
39.95216,63.573044
54.94934,44.382423
40.496864,10.3703
9.746137,46.58967
34.345356,-68.4473
33.675823,0.1760168
-10.405403,22.079824
49.3762,-19.087612
22.674278,72.04813
95.767235,-26.746265
80.463066,-30.921825
40.83421,29.25769
43.040527,67.45455
28.648306,15.161295
-4.3653727,8.961691
-17.588497,-36.154156
13.123059,-83.33237
