dim 1,dim 2
35.771595,22.494244
39.155148,-14.972721
51.501617,66.287994
-61.814686,-41.992073
50.869667,75.592155
38.75614,57.456375
44.981525,-33.877506
59.282627,-48.98085
-45.34367,-65.09147
-43.07164,-50.209614
2.980696,-81.41323
22.500902,-46.074604
77.98558,34.8667
16.150799,-31.724075
63.006615,24.61204
35.81503,-20.29735
-73.096466,37.919495
22.376087,-18.449162
-8.863504,15.126145
18.768717,-82.11269
43.580288,46.755653
81.98885,19.626217
66.3926,46.93477
-73.70662,-5.235507
-69.84939,-3.3008962
-58.176434,4.4738216
38.148365,-73.287605
-26.504402,9.955614
3.5033362,52.55849
-43.335567,-8.734684
64.17332,46.053467
14.046711,40.603477
25.22202,32.903946
-34.278545,-42.563946
-14.333841,28.735725
-6.7422676,2.668277
-16.885904,-7.6394496
-25.985073,-75.06943
22.13004,66.16122
29.847672,-69.23445
-25.495562,-74.699135
2.754636,9.66106
-24.624819,13.607407
53.30397,-26.19222
-28.522213,-24.611223
30.339975,-74.77413
39.838505,58.227215
-41.248047,-11.707226
-70.58198,23.624323
1.8855631,-15.166816
36.916634,-45.193344
-60.763752,0.31572607
9.444972,-48.233894
14.6625805,-49.067413
2.5799177,-66.23782
-56.751877,1.8399885
-39.435284,-43.271927
31.24894,-18.891151
-26.487904,-11.382383
61.210876,-44.94376
15.022146,37.071976
-35.56467,11.68355
-53.84158,61.442966
-65.065155,42.260117
-18.204798,-49.91794
29.991327,-75.50525
-37.56277,-32.609882
21.354267,-23.40949
60.793858,-8.546355
63.455902,-22.002535
-19.842834,30.62572
-17.163372,86.90066
7.6848965,35.350227
-15.890879,15.759971
-14.882391,-7.7618136
16.23581,48.748375
33.43131,63.403427
38.02455,68.50715
17.481125,-79.116554
32.779057,-18.811365
-46.90206,9.330372
-19.347504,-45.343052
-37.441227,-6.2931643
-17.746717,76.921165
46.949512,-39.888695
60.035164,9.493839
-0.15748811,5.2465897
-54.738293,-19.61037
-13.637475,-58.792126
76.125786,-11.050613
-74.72079,16.668941
-69.204994,13.512814
-25.436552,62.34502
-7.7436943,76.845604
-18.903435,42.88487
-65.89159,3.8485641
27.508255,30.678967
68.66277,48.715958
44.621986,6.520587
-11.469719,48.7632
41.87676,18.62879
4.346556,60.720337
74.41562,5.2485046
-9.388546,39.978794
-13.160021,65.06753
11.641835,-17.060253
23.045853,64.03857
-21.764982,37.565002
32.367203,11.682062
-45.167675,-43.33338
-18.859793,41.077366
24.560938,15.374916
-5.2849517,-10.5683365
27.835981,33.98653
51.482704,-34.219814
32.51199,44.921032
-66.77377,-14.520677
-13.659967,-36.626263
45.800873,-1.572384
-22.198801,70.300095
-9.728041,3.2900596
-10.040513,-75.684204
-25.313486,-45.447147
37.70985,-12.895083
-74.150955,-2.0288293
9.565587,28.567602
-22.447515,27.276777
51.323692,76.09921
35.824276,-66.054276
-38.551476,-11.031777
16.21614,8.078099
32.513092,44.921036
-32.052864,66.59752
-42.974686,64.60233
-12.102963,56.133762
-30.428637,-0.6405625
-74.989845,3.1155477
-2.896871,24.92744
78.90251,-13.5294285
-31.338617,78.61797
9.658216,-59.898716
11.97863,24.225452
-58.71253,-35.231735
-71.09314,1.8009286
57.567326,29.20712
42.935436,7.158118
73.24096,32.93053
-28.147978,51.765274
11.164149,57.780582
33.18457,63.761402
35.18102,67.1058
41.342323,57.533115
-10.491682,-54.95558
61.493122,43.39066
-57.78588,-68.23481
46.21066,57.37809
31.332697,20.539907
14.7113905,-32.231136
-47.657932,42.41878
-33.07527,18.978207
-61.125847,2.4019883
-60.57885,-41.014984
-90.17321,-2.1873977
-25.871927,44.14478
-81.61371,-25.66075
45.067677,25.155203
33.96011,34.83506
-62.365635,-22.902866
74.337494,-15.127494
-11.212813,-31.23435
38.40501,67.414986
-71.86226,22.784443
69.013336,-9.641327
-79.82212,0.52304864
-14.844229,15.124656
10.138506,87.71678
38.398647,24.091677
44.787693,0.9365999
60.168785,-37.343315
10.217933,7.320577
20.47002,66.53453
34.779697,20.124846
-75.99665,-20.297705
-41.059834,-61.05966
24.19933,21.036083
32.32352,20.189863
-32.688435,-65.3267
-6.7853293,-57.78628
50.876087,-45.4939
-75.98809,-24.854034
15.865446,-38.9011
-13.52801,-54.062714
56.211933,-15.451778
32.6544,-3.0699985
-37.444992,-2.495372
-6.730757,-42.998287
50.675312,69.92231
-49.57496,-1.70468
25.81847,-61.753826
-34.59411,42.554977
-3.5296698,20.23806
5.81338,-22.464287
42.98524,-61.051483
-19.729328,-46.62266
50.232414,-57.15027
-18.575882,-31.27021
59.444195,-24.634571
