dim 1,dim 2
-6.120109,25.217024
30.928104,-41.599358
37.8734,42.122066
7.199129,-77.93904
51.47194,-1.4411187
-44.08693,38.20388
3.8822756,-75.668205
-33.363182,25.358986
39.628506,32.366596
-90.29735,20.697702
42.203236,-37.57376
36.739952,43.94505
10.867853,3.8908381
-48.163662,-10.236551
-24.862137,-6.8042336
39.22706,-66.903946
78.85366,-39.32072
-42.540897,43.839573
-27.075117,-56.858242
-73.41721,-19.31075
-2.0197282,-86.590836
6.7425485,82.405624
-33.91173,-45.04915
0.022642022,-89.75767
-22.46325,-6.190508
31.572266,-38.883183
-56.125656,-18.49653
-42.82324,40.580444
56.242355,-36.539772
29.514149,-12.344127
-15.824332,36.27613
7.3827624,-68.6035
50.015644,4.2198496
20.283802,17.838078
6.401645,-17.611725
-1.7518992,-0.250386
63.32492,-30.486958
52.85668,71.49256
-21.233402,-73.39727
-38.275295,13.981802
43.86428,-30.20903
47.752167,41.77528
24.300745,-8.226342
52.49796,71.00993
6.342661,-33.031788
-50.684235,41.43319
64.898834,-30.34611
13.754586,28.143087
36.10248,60.160286
-23.358162,-35.80737
-63.748486,-14.676487
44.887905,66.17475
-18.93271,-47.324753
-3.5197968,47.510323
-74.501144,-18.942211
67.33502,43.489586
-28.214766,-5.6759357
3.1314523,-17.350817
34.676228,23.410892
-51.315754,-39.87439
39.459133,70.649536
30.609245,42.79604
19.494005,34.76701
19.324066,7.5512156
80.14549,-1.8534274
-26.624998,1.6260606
-75.45012,-19.8469
9.715283,-77.98011
32.469643,-37.74917
-57.112026,12.275979
21.810211,31.004042
-37.63112,44.776085
68.534355,1.2335789
25.544043,-56.4779
-70.585915,-45.99379
66.34983,-40.609245
27.216108,-33.235867
47.437252,35.57287
-2.286507,47.482292
41.1903,32.072933
7.734726,20.34584
-1.9871327,-84.31871
26.29487,-27.90631
-82.769485,8.814326
61.464497,-61.843037
5.0264606,17.38991
-0.69073296,-43.641483
65.15951,-60.932945
-62.50009,-21.179312
47.43992,20.172712
-54.03244,-24.48772
-16.017866,-75.06945
64.022064,-60.70464
51.571136,29.160028
-1.0436108,-88.279915
-30.7208,-65.365105
37.92439,15.3901205
19.05782,-1.7345
-30.989325,61.214077
31.664106,-56.148697
49.552,9.122701
-21.992535,-33.964256
-55.41601,31.227137
32.3813,-62.967022
-53.616146,-24.108023
-73.42836,-29.13622
24.730139,-30.367506
-40.43877,37.813267
44.24099,-79.493805
29.941591,34.13582
-8.065402,-56.05409
3.1536686,47.055923
74.87144,-18.595013
-22.0138,-70.097084
-76.693054,31.988197
-1.7403467,66.63057
50.58102,24.773268
24.005743,-69.79822
50.02704,5.760189
73.00595,36.319176
60.084972,-18.476404
-11.614641,56.83416
1.7539204,20.63184
20.965904,40.995617
83.43193,-18.919306
-33.837437,-20.332022
5.4479628,37.129276
49.075706,58.126022
12.333118,36.070045
43.612225,3.032304
71.21832,5.608058
-29.080738,-73.21269
-22.376348,-36.3908
38.85846,8.035907
-42.25463,31.248098
-77.06181,-45.115967
45.836845,-30.809258
-60.411247,29.028837
-31.51897,24.060917
-3.0803132,56.701508
-38.376244,-44.61348
-19.010374,-27.95162
-20.000807,-3.5169132
47.81213,57.04447
-24.430206,9.622533
-37.856834,-34.475098
26.179832,37.69075
77.534935,-40.488377
63.566162,40.019745
-9.384469,-3.2591116
-13.421324,23.879473
-21.11166,3.0234716
-10.735097,69.639534
20.41009,-2.4285746
-24.313957,51.74745
5.7138305,25.250582
-62.8708,2.217056
-18.04224,73.77767
-70.31331,11.449895
59.29699,8.742719
-41.570984,-78.39075
-55.847572,53.754574
46.037067,56.52858
-43.017056,14.389757
-44.075893,23.321644
53.081505,-17.118979
-55.59858,54.726734
60.480473,-66.53669
-47.64035,-51.752937
25.50246,37.035793
45.402203,3.0177722
50.55517,-59.426975
-59.471416,-52.80311
-6.697448,10.604918
26.149624,-32.684837
36.725346,43.90456
-23.700527,-69.869995
19.123152,-6.657657
0.44414112,-44.550327
29.359554,37.625328
64.74831,-62.195107
-23.360748,-19.496977
-44.149147,17.729239
51.393623,-57.206882
-71.291664,-14.846577
-56.68349,5.034032
48.73795,-23.845623
31.40271,7.7320147
-31.810093,-67.47113
-47.328148,-16.991209
12.435164,-19.15151
-56.127193,26.679798
-26.379313,-55.432785
72.52444,10.88791
42.444153,63.30085
27.01891,-2.6409054
-11.728778,-5.7487516
46.787384,35.954906
-78.344284,-25.149971
7.115494,25.298885
