dim 1,dim 2
82.22918,2.7215116
-30.72955,-44.91709
18.011915,4.539044
-42.070015,-50.27958
52.817055,-0.920237
-10.22182,67.04112
85.6955,17.061232
-39.861664,-33.7342
-31.547197,-61.123024
4.2330637,-73.58109
30.37634,-43.648033
28.2685,17.90335
30.686974,-25.197117
44.542343,-6.4516954
76.39596,-22.255661
-31.320248,72.20831
-51.350372,18.492275
46.79119,-55.11444
-9.385406,33.452934
-29.57044,1.347792
-73.38767,-24.96055
-35.218414,27.767143
-51.108593,58.251045
-75.27716,-13.75651
41.125755,-68.123695
55.887035,16.74372
11.811377,-64.8766
37.778248,-33.365177
-71.47859,3.2962213
66.88053,-22.708292
-41.463852,21.074076
-70.052414,3.91995
78.54276,4.516679
-17.624912,69.18439
10.979749,-90.24839
-32.068947,12.40868
-28.794895,-7.601775
45.11021,54.322674
35.80675,-23.12893
-43.074596,-10.779951
-30.586811,51.459194
-10.264434,27.58473
23.606888,79.184395
27.668985,17.13247
6.2596507,63.18456
56.982296,3.7685347
66.4347,-33.34719
31.743204,5.501903
-9.686261,67.3685
-35.072678,-1.9450545
-35.674706,61.473503
68.568565,11.491964
59.71212,2.3181715
42.21972,36.94398
-30.406866,51.4724
11.080806,65.28593
5.3684325,45.897484
18.589863,-53.197495
-22.090391,16.891527
20.804403,-27.90534
6.702002,-17.082466
-60.04677,65.84949
76.75925,12.655094
21.935513,-61.548275
60.88779,-30.414694
37.586197,51.180904
15.466238,46.844368
-17.160515,24.054659
-6.8920465,33.570877
23.711914,-71.23523
16.93224,-73.75724
2.2712424,27.905317
-21.886768,-19.185423
41.684566,35.300514
15.458811,-72.401146
7.511177,75.50037
-20.01879,-42.29478
-1.4921438,-44.434013
-14.795423,3.0498197
2.2150319,52.42857
53.30709,-29.474554
-18.652924,-42.91721
35.43967,2.9327524
-27.579128,-45.89386
11.378558,22.627403
25.97935,-77.65219
-34.409,77.65823
-77.57345,10.621826
-34.858868,72.65547
15.824268,54.825874
3.9642715,79.01345
6.103454,64.792
-31.57117,11.97449
-65.2131,-14.531619
-11.147944,39.597748
-8.282275,10.476002
34.67503,-39.994564
47.113007,57.902435
69.070526,11.402856
6.4932613,38.601826
12.591739,-86.17988
-25.257708,54.01662
-29.424528,-2.5742881
70.95924,11.790708
-45.18504,-43.11449
-76.066536,-13.033862
43.272182,32.38419
10.635889,46.231068
-1.5792822,65.89802
-61.072865,30.932253
75.742325,1.6878825
-34.089615,23.761408
-22.690037,14.827268
78.96077,-8.893471
59.324566,-42.90369
-11.250363,58.46452
-34.60984,-24.851385
-17.044645,-16.3377
-11.106885,-59.850674
-26.033329,53.700253
-13.169441,-60.571323
-2.412314,24.549656
-55.410313,57.743332
56.449127,-17.142199
50.28762,27.541542
-19.453142,42.88686
45.576694,-55.14622
-2.903892,29.76653
20.395565,-8.10365
-7.3067083,-10.5033
32.95631,-7.05159
-5.953424,28.814348
39.392277,-74.10012
-42.82819,-18.803982
-8.496809,60.79363
31.0733,42.87659
0.48697957,50.87842
-73.13922,0.60706127
-5.687361,63.281593
-44.27266,49.532295
-49.337883,6.0295005
-43.56996,1.7832584
-30.964846,-27.782677
81.68216,-5.1246614
