dim 1,dim 2
41.74753,-49.892303
-19.618708,-22.320524
0.965556,89.48487
-30.013689,68.1935
-52.691338,-53.86814
9.539146,-13.923378
15.381795,-81.02251
-17.327751,32.02452
60.382843,-43.641407
23.301313,-55.02972
44.62681,44.216377
-56.0071,-63.596325
97.74156,-15.06454
-52.19895,14.600867
-63.92178,8.180512
1.2830393,-50.236115
-69.80504,20.894669
43.912716,9.82206
24.336832,-14.772775
-28.765059,15.04845
-79.52633,-47.61491
-9.590996,-4.8927536
-55.70712,-58.25283
-84.067444,-27.087227
-81.34953,26.425587
9.758622,59.92346
-3.640846,-1.5967056
10.556486,-73.56964
20.959337,15.435086
12.742851,-19.727997
8.149276,-16.289661
-24.98595,48.053013
5.343081,-69.30465
95.8501,-21.535706
2.5899208,60.886906
-47.891026,45.98628
-53.52863,18.147099
13.246804,35.60339
3.4043267,59.768707
-36.995087,-14.666848
34.184387,-36.75786
-5.9554625,-1.7384484
55.267635,-11.547882
103.02191,-20.193254
70.872665,14.258759
-6.509971,4.7823386
-60.02959,1.6887279
-30.713696,65.116905
-42.76869,27.627575
32.295265,63.539165
-49.846386,-39.791767
-12.499197,-69.96505
22.920595,-36.24741
-47.995564,-15.783166
71.62176,4.13755
-17.929728,54.95224
-46.34961,-7.896859
45.80928,13.464163
-60.698277,10.379852
42.729706,52.269665
-27.387054,18.753532
-3.8113637,-21.612057
-6.474185,82.432175
10.801255,-68.73458
45.342773,-27.516973
63.11139,39.151318
31.934818,-22.566416
-46.80305,-57.6447
-50.71951,39.581383
-25.628717,13.913826
-15.596234,-44.206886
33.681927,29.056974
-49.811626,-52.91707
54.3191,-32.644478
-9.270494,-52.84114
14.426638,-15.668317
-20.287561,-35.853016
3.0834565,-44.553093
-51.572403,43.957577
11.2059965,-73.557846
15.704983,-82.47995
-12.743869,-65.001274
-75.3639,-49.8457
15.555727,-23.194609
-30.38934,7.4134216
19.172117,47.124546
-64.70207,8.542828
39.617817,3.904834
41.412086,-24.071997
26.831623,15.207551
63.919136,26.49377
-13.918147,85.536804
54.09552,-15.005419
-59.98437,31.213284
40.99459,-8.779196
-27.350851,-0.18502793
-31.378986,-18.907457
58.83883,37.47665
55.8102,52.18625
-26.951923,-64.0241
-74.59425,-26.992086
28.13961,-4.370814
-3.2503438,-2.5480216
-76.96518,3.9661944
62.73734,-51.67095
-0.6243315,82.62504
-30.262224,-11.921909
46.454502,-27.637358
-42.457912,28.592247
-9.738894,-26.665394
5.524727,-77.25384
2.7972035,61.77548
12.440032,55.55294
38.378876,-55.793835
15.470434,-23.52428
99.94283,-22.217745
19.143003,87.34952
4.667192,76.544075
-18.888882,-12.237531
2.7037246,61.69568
44.657085,-49.128483
-59.029316,-4.78849
-84.34367,-36.92479
32.050297,49.31331
4.8123584,90.42642
32.0876,52.493877
10.500183,39.017555
6.9464846,-23.972431
24.183554,-0.1889917
71.580025,-9.949035
-25.236523,1.2283301
-6.852825,-11.295565
-6.133122,25.672953
-19.385809,-55.590218
-33.54418,-44.017826
-82.384705,-40.498993
-0.4964856,-25.36179
29.824726,-12.849337
