dim 1,dim 2
-26.25518,-2.4061704
-25.410173,-41.828724
54.568913,16.073914
-81.35393,-27.323446
-67.38902,-38.483704
-1.3590899,2.2578108
19.500933,-50.267628
17.64411,-58.710125
60.822544,51.859688
54.450794,71.14428
94.548325,21.307018
66.85493,12.300839
54.232018,-34.119858
57.493702,67.17016
1.3882366,34.59938
31.591856,-22.228813
80.22831,35.22036
-16.65996,66.85432
62.439186,-59.179546
62.929867,-33.77083
-47.742367,34.312706
15.402059,59.08519
20.183058,33.3982
-27.131329,42.48826
-58.6206,34.334698
6.3333564,-55.812706
-59.77746,-48.436447
-64.735306,3.9596872
50.877472,31.484112
-64.082405,24.374298
13.4838,-9.897849
42.24274,55.040604
-57.332085,-11.503282
23.544243,-27.386448
57.802555,61.11773
78.09866,-45.497917
-70.23111,-36.568115
-33.66494,-14.718789
31.86481,-11.041913
-23.113728,57.65111
-37.12007,41.336006
-29.537228,69.73051
63.67109,47.944355
-7.805412,17.957338
-19.241074,-19.946232
-33.03492,5.194188
-41.935577,-4.2522826
-49.433815,38.91931
-42.522953,69.55739
36.164486,-78.12916
30.4963,-5.4360433
-53.16666,62.452652
-36.96626,-0.095902175
49.181213,67.9503
42.36078,-43.414757
-80.740654,30.160738
16.979607,26.12185
10.607891,-92.19486
-1.3533059,-19.691656
-48.62402,-72.5674
13.725604,-8.179453
42.632637,66.480995
-21.516798,-42.031002
5.100991,38.626873
-18.034384,-17.581974
11.879168,-64.2183
-81.16071,2.5864613
33.108402,71.17977
20.983511,21.49685
-41.93189,-45.67211
35.337536,-52.809685
9.565649,41.29838
58.007908,47.009277
13.70941,-8.163524
-27.914404,18.229723
79.37409,-41.92015
17.310848,-23.115149
50.778954,-12.052953
-5.2137628,18.968336
11.141667,81.39647
-49.950718,60.404747
-92.14994,-5.053031
-2.9624448,-19.985447
16.01918,-58.04132
-30.608522,-60.764175
-14.751235,-61.585995
-64.74728,-13.048969
82.19141,-37.166252
86.30645,-35.89928
-41.907608,-11.93901
69.973434,-35.52198
-42.07854,-25.706318
-4.729446,6.8705745
77.413795,-39.544815
-60.303726,-74.85045
45.646446,-12.5282135
-25.010885,-22.165226
-13.799342,-75.74515
-62.884647,-51.438396
-47.822468,-61.257584
24.802103,26.571207
-24.827255,-52.558918
-35.040077,-14.770703
61.408962,-33.968582
-53.97022,57.357967
45.509712,57.50769
-16.70253,1.1633317
63.193153,46.000305
59.521244,61.95393
88.82594,5.3396277
-35.043385,-14.714126
-58.134922,-13.365929
10.628515,-92.13866
-38.170547,-7.6069355
21.694332,-15.751035
40.184822,29.260374
33.78027,-77.87445
23.062643,-62.30202
-49.296337,37.48047
-16.11341,-20.935644
-10.425034,9.198531
-81.49151,30.613867
24.270422,8.295559
67.82487,-68.91977
63.545555,-71.799065
24.844019,-28.137522
-35.58287,0.19107051
39.61522,14.238951
-38.82548,-57.45919
-56.46695,-9.322274
-54.080833,27.119747
-43.67986,-46.521168
23.546854,-6.8648868
44.198505,61.395348
-35.556316,-66.533195
22.789452,-17.253107
-22.420942,22.551458
-32.202854,-13.084804
-3.754799,-42.627434
61.30042,50.285885
26.716383,30.752295
25.948994,-18.938906
89.17904,5.508428
-74.20405,-43.485493
-77.69729,-50.1093
41.830025,-10.305178
-36.417126,36.946957
57.71369,-0.042496167
19.406914,-0.7420573
-39.942375,64.12773
36.25746,-65.929665
49.147045,17.2095
-83.01157,-10.645323
22.82494,-52.350266
-1.2248636,41.676334
-73.77688,-42.324486
-6.8740654,36.053326
-88.274536,-1.2600969
14.9410515,-20.741755
79.02226,-42.709736
-32.25897,31.32622
-30.3853,45.19728
-29.698267,75.98914
-33.024487,-63.41434
61.052567,-5.2602386
41.094357,29.212465
-31.498384,62.192043
-25.899872,-44.940292
16.50843,88.730415
24.05381,-31.48345
61.501823,-33.69712
-8.762363,-62.47668
40.694916,20.311626
-60.808994,0.86261
-16.710546,-6.268351
-27.54813,-20.206184
-28.62213,-43.040615
-24.4159,-4.513094
-13.692724,-20.21412
-80.175224,-30.10465
69.18843,53.38905
-81.86835,28.419222
18.982368,-6.1784296
-37.399494,-11.545227
-55.62026,75.04989
18.670485,-22.59181
9.407408,35.14319
8.247517,15.512041
42.67988,46.494408
-30.067148,2.3195636
66.06683,15.562986
-22.050806,-41.5122
2.891346,-74.98661
35.51672,-66.96449
-74.63391,12.511217
-84.26254,11.591823
-83.81771,-11.012535
-36.957413,33.164413
30.812769,-14.235559
-26.199247,84.3892
-58.23836,45.452713
-48.748447,21.644148
53.138706,72.753914
73.90155,8.352396
-63.562477,38.500397
62.77127,-71.8747
15.460755,-57.9722
-25.362968,-42.403507
15.523796,-71.85691
-14.296243,-31.940807
42.153236,15.824646
-52.926567,-70.766174
-74.105576,-8.183478
4.007843,-59.459496
-68.97228,-10.918941
50.918728,-59.81586
84.66958,-2.8981013
-45.52146,8.168322
9.681126,1.283863
-14.417229,-54.478508
-19.51883,-23.534863
-63.14158,32.29138
10.832405,80.677315
49.970192,25.597643
54.172104,-58.957157
-54.30638,26.738737
35.97777,18.139988
-13.0409155,56.955177
91.784424,-11.923256
16.74268,-9.778666
-21.54707,1.0040026
-72.13571,12.2574625
-35.646885,-47.896946
-66.26476,-0.4204451
-21.04515,67.243225
18.15831,70.85989
-57.6396,-11.346907
92.73107,29.362047
-0.17818034,68.08254
53.62196,23.781424
77.37,30.846903
30.069815,-29.017967
-31.402313,62.364902
-18.518532,-59.869514
26.612522,51.90173
10.248668,-96.34344
-59.035072,-35.841125
42.570915,-22.96224
-36.029934,12.583074
12.604748,79.67583
63.504925,15.095869
46.15519,-47.98703
-54.961113,-58.634823
-19.902964,-74.7826
-70.08421,-23.468613
45.186607,29.94665
-45.037613,4.1404843
88.58834,4.881062
15.796531,-71.81396
49.3549,22.450457
-90.354,28.447454
-25.019789,-69.06907
-6.5438504,20.173079
-74.61525,14.361481
53.256535,6.2847776
20.169926,-29.9795
40.52146,-33.8275
46.37761,14.512883
-48.993164,-49.268528
-62.60064,-68.81357
-2.223209,19.201618
-25.321976,-19.914228
-43.860954,-46.0023
1.5832428,4.3776746
-62.74268,-71.61802
-33.432713,37.810482
-33.23189,-63.58903
24.711826,74.30516
-47.652546,-2.69723
-24.109692,-7.1456656
-47.439377,6.277862
76.22616,-25.44561
14.637184,-56.173138
-38.218002,-4.079137
-18.17943,-59.49342
33.58076,-40.39363
-58.166473,31.626614
27.3982,3.9065156
-81.21824,-25.660774
-53.191357,-69.01593
-8.782102,-43.595844
5.1042137,38.615772
61.187515,-26.619385
-3.218088,20.719599
12.338941,-53.85719
