dim 1,dim 2
-29.728569,62.136555
-10.808552,34.36116
-44.399338,-47.115788
-35.530865,9.236211
-2.4298337,22.626482
-34.540062,91.43569
-11.565408,-80.9188
-6.0976324,-87.80495
53.52488,65.275085
71.12049,48.98553
30.195675,93.28069
-44.611332,-55.52763
24.334003,-41.041576
63.45859,58.974903
99.23917,-1.9456528
-12.792685,-57.64189
19.630941,73.89194
46.190857,4.396676
33.800255,-56.4856
29.162138,-36.75663
-62.04868,32.783684
19.085724,48.72419
-20.214958,-26.940228
-82.443214,48.18638
-72.86813,25.579868
-17.950207,-91.56765
-31.257309,19.23332
-62.009464,-0.28286377
-53.993687,-33.368683
-66.78324,19.685669
-0.8253105,-23.058147
55.91358,45.10735
-43.43018,-11.214045
-14.555505,-61.01824
61.241386,59.48253
48.650814,-36.58607
-5.1550064,23.575909
-13.037675,60.67764
0.4911446,-36.578037
26.056091,-5.5372314
-73.24722,45.310516
50.08974,9.360427
49.80685,68.512314
-35.329845,34.54763
-7.3246465,71.64514
-38.620316,62.85591
-24.084873,51.115578
-73.54103,34.755478
63.82901,10.851979
22.690308,-86.71258
5.2003517,-34.843933
60.657784,-12.115483
-27.919247,51.582996
69.00698,45.536583
16.339071,-54.972446
-89.802864,-12.902937
-19.917345,-22.234287
56.626064,-58.952282
-18.32593,89.96249
-0.11347599,4.13902
0.53350246,-23.916573
62.09656,44.78056
-13.744109,38.264854
99.09824,-7.2230234
-9.010719,69.653404
2.067115,-88.14785
-38.05634,33.406662
42.91112,46.381546
-26.901588,-22.26743
-23.902842,22.983656
13.153245,-68.79753
99.96564,-11.694092
48.01324,63.3799
0.56626433,-23.883959
-51.66409,55.6227
46.32075,-33.70999
-12.369643,-50.16447
-26.372244,-56.254566
17.10561,-14.441779
32.762604,32.121407
63.114697,-9.936763
-63.349663,-5.6312
-19.051332,89.06604
-6.737807,-88.4935
1.7568369,18.182766
15.382178,27.283901
-44.51661,-5.096379
43.687393,-29.725098
44.069176,-26.498987
-18.84756,54.7873
38.071426,-41.68401
-0.070454806,58.145912
-38.372486,83.98376
43.30751,-33.988804
-7.8396006,-2.2932425
-22.793842,-59.27181
-3.8857841,68.85944
18.536467,16.503004
-32.848553,16.835228
-16.083612,7.041786
-24.021334,-28.68581
3.729176,22.407185
-13.408069,59.125786
30.490808,-37.206646
65.25974,-13.654484
54.627064,47.899178
-30.246561,70.88592
48.91703,67.60592
61.387814,61.15889
68.86604,-39.66974
-13.394828,59.151836
-41.410484,-11.361903
56.584843,-58.93478
-18.098442,61.546543
-4.6059785,-48.42825
-60.823593,-40.106613
24.615683,-86.91503
5.2785826,-83.54908
-71.627716,34.526775
-9.276404,73.22717
-37.002155,79.397
-90.424706,-12.582836
-18.234438,-39.53493
41.65246,-59.34433
41.4015,-63.938236
-14.249618,-62.294727
-26.18877,52.20729
-53.61439,-59.56321
-16.342833,15.845496
-43.357838,-13.698163
-59.339935,28.987715
-25.157648,21.23283
-1.0261581,-31.196674
58.046593,48.946175
-12.075242,9.072492
-6.0401545,-49.76776
-49.504032,60.082752
-14.303753,62.564495
5.1491795,42.44959
51.902214,64.97628
-20.287834,-31.379124
-4.4449368,-52.49322
68.49462,-39.54694
-6.320386,16.922419
-7.9020405,10.845156
-21.678785,-63.470406
-69.38455,42.270267
-32.669666,-50.679295
-10.635891,-26.961044
68.27829,1.5870312
17.661093,-74.93786
-48.66771,-50.445934
-55.4294,-10.133922
-7.3260593,-81.36973
92.45779,-4.087755
-5.7448335,17.89501
95.28547,2.1321988
-65.52231,-16.236404
-10.271704,-48.063114
47.0208,-34.603466
-64.70209,45.985176
-81.70504,44.65727
58.544678,6.6990466
0.95997703,15.139405
-36.89053,-48.965
-59.8217,-39.51124
73.196236,5.2341533
-12.928476,35.09393
26.640392,33.928493
-16.877731,-64.86649
30.370438,-36.97865
6.635449,28.404428
-61.926662,-49.964737
-58.2579,4.1851187
