dim 1,dim 2
-26.341516,-18.304924
1.7849998,-12.93576
7.5748634,59.587734
-17.0975,-37.91746
28.687836,13.692629
-3.1401417,47.4725
-22.18698,-17.026268
43.763763,-49.36657
-42.25478,43.999683
-45.88542,-6.937963
-28.241539,5.1298194
4.3183994,-49.900784
8.107753,46.466045
-47.245205,-31.797468
16.424831,59.004345
42.803165,-28.280386
6.2246423,40.217384
-15.89128,-56.540718
-8.658289,-33.296402
6.3539557,-37.86155
-2.0438986,-43.753994
-7.4274087,5.5763717
63.252617,-10.658068
43.991146,-50.871906
-12.666063,-21.469692
-44.959877,23.220896
-22.822609,-41.64774
3.9491196,54.390976
-18.10909,-6.662452
3.1875658,-16.44761
-14.273259,-0.42771924
-4.2151103,-17.597193
-17.164299,-59.4856
-25.293558,-11.280078
-34.023983,25.198107
-4.207899,-34.702477
-4.308535,-37.20542
36.01213,22.90351
-20.868631,16.604408
-16.946756,7.640586
8.50284,-3.6028848
-12.574823,-19.124199
-28.614498,77.336266
-19.753502,-33.206158
-37.612366,-11.577407
10.536104,-15.7746
38.396027,10.469759
-48.62667,-16.760618
-38.091393,-52.271893
-0.79430366,-3.3077643
26.319567,12.701886
-29.999657,-44.897995
1.7206974,38.75529
30.414207,55.331814
12.751277,-35.12335
9.705252,9.556585
19.614452,-24.250648
-24.562195,75.12345
55.82618,30.447382
-16.70716,0.44215336
24.85884,-70.81756
-27.800472,-45.70611
52.565006,33.072727
-4.230592,-18.235678
-29.81904,-14.161855
-12.278572,-38.45519
-66.07574,-0.7959038
5.6271186,-70.59607
6.5592246,-49.010807
-27.002693,7.7969866
-6.1376095,35.85829
37.183647,-30.770187
8.943745,55.57083
3.740571,58.43705
-55.49156,-4.849498
16.748857,-70.38528
-33.010635,2.9520516
38.30521,10.330835
21.433523,22.922579
16.73223,41.505123
-53.388504,-19.510435
25.192043,42.841713
58.625877,26.523676
-6.23279,-29.888254
-46.790894,-26.914188
-6.9807286,0.31222746
-8.5011,-22.17484
37.047947,-2.329242
29.49752,-42.508083
43.95868,11.108224
-25.41686,-40.714394
65.66253,-7.6252894
-5.756382,6.244199
2.826057,-26.247011
-23.507082,11.732175
2.8870518,-57.738754
-27.097507,40.876156
13.127722,-29.376877
30.059618,-7.913572
-38.216908,-21.42085
22.732485,-36.46399
19.504702,21.900229
-13.8331585,-22.654615
-32.95341,-52.05039
42.24074,-7.971487
-20.613249,15.788826
-64.837814,-11.62724
29.642782,28.789648
-24.05554,14.351079
-8.913512,-55.72319
-8.28455,-18.702703
-10.018236,-59.048466
-42.481808,18.24998
20.97713,60.166237
-27.286135,-20.490997
8.101505,-9.942201
-35.12833,-38.09869
5.9854894,62.524883
6.657076,38.627384
22.735956,-66.20282
-38.887997,-2.969951
-30.648909,-3.6900675
-23.312834,47.819237
29.125689,13.569687
-23.593699,-2.182706
34.55169,16.60602
-7.3885193,-48.44068
-66.34057,0.16410509
18.137426,6.2705097
29.603592,48.535343
15.673073,30.920834
-21.33141,45.358578
-6.333149,10.534877
-37.090084,43.397438
31.959833,-24.062897
-52.346935,-2.4394798
-38.08089,-31.552094
36.60613,-15.864899
4.3970857,-54.46011
-0.8016349,18.469969
-27.132011,75.86753
15.1146145,-16.723948
36.461727,-14.672216
55.138912,16.37919
22.355556,23.670465
-19.793003,-39.535908
-33.922535,41.964924
-14.126506,-16.952549
29.090124,63.320564
-69.83451,-6.8320117
-39.526352,17.966652
-7.9047093,-65.56009
-56.466248,0.0120524885
29.241716,49.776333
-34.611374,11.140207
-19.372734,76.708145
-47.794197,39.511143
-5.637032,-67.462494
3.7279096,-13.6961
24.839003,-8.311014
-4.377906,-42.45377
10.923952,3.8183656
-55.27826,-20.89169
-2.0684597,25.203299
-25.731962,-64.94916
5.594432,18.814274
-8.159531,45.898693
41.098263,30.88781
14.48927,41.676903
16.311604,-67.41001
28.311476,-15.971109
19.852715,-5.504725
-12.277791,-35.66655
37.619797,55.39282
-0.33007252,-52.10715
-50.071606,10.160066
-17.711346,-61.0953
-34.44136,-46.143364
-26.336042,-42.533398
22.670748,-45.697975
-15.570797,50.318604
1.0532627,-15.344591
-6.656266,29.79247
-22.02494,-25.423365
-36.30863,-22.3027
-8.766499,-64.5671
-5.270742,-39.48252
-2.3094249,-36.485733
-18.075975,67.787895
-27.671484,-53.050545
-33.4135,20.470762
1.0506542,-50.499542
2.3451548,-57.160576
41.52887,31.065718
18.192629,-64.914795
-37.411068,-1.7865702
44.66534,-41.278965
34.914288,-12.415272
-33.03626,-13.226101
7.6075315,7.8592286
8.941792,4.175246
-8.374615,-64.18649
28.844713,12.593426
16.906025,59.376442
40.127617,-11.42131
-11.117964,13.374996
-15.083784,6.495251
-2.3799183,51.454933
36.379017,5.0746202
-64.48619,-12.064912
-37.347893,3.507624
15.960632,-48.83422
-53.250072,-16.543837
-65.98152,-11.406919
21.71913,54.43262
17.110476,7.2948127
